imageId,optionId,imageUrl
1,1,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/vizio-d24/31GRospKCbL.jpg
2,1,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/vizio-d24/31HIEXR0bpL.jpg
3,1,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/vizio-d24/31HjYucEFFL.jpg
4,1,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/vizio-d24/31MP%2B6aeryL.jpg
5,1,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/vizio-d24/31h1W-nI2mL.jpg
6,1,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/vizio-d24/41FsuaBZFBL.jpg
7,1,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/vizio-d24/51sk7lzedpL.jpg
8,2,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-28/31GRospKCbL.jpg
9,2,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-28/31HIEXR0bpL.jpg
10,2,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-28/31HjYucEFFL.jpg
11,2,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-28/31HjYucEFFL.jpg
12,2,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-28/31MP%2B6aeryL.jpg
13,2,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-28/41FsuaBZFBL.jpg
14,2,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-28/51sk7lzedpL.jpg
15,3,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-32/31GRospKCbL.jpg
16,3,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-32/31GRospKCbL.jpg
17,3,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-32/31GRospKCbL.jpg
18,3,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-32/31GRospKCbL.jpg
19,3,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-32/31GRospKCbL.jpg
20,3,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-32/31GRospKCbL.jpg
21,3,https://s3-us-west-1.amazonaws.com/amazon-clone/product_images/tcl-32/31GRospKCbL.jpg
